[00:50:09] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[00:50:09] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[00:50:09] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/ultimatum/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[00:50:18] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:50:21] [main/INFO]: Loaded 7 recipes
[00:50:21] [main/INFO]: Loaded 1271 advancements
[00:50:22] [Server thread/INFO]: Starting minecraft server version 1.20.1
[00:50:22] [Server thread/INFO]: Loading properties
[00:50:22] [Server thread/INFO]: Default game type: SURVIVAL
[00:50:22] [Server thread/INFO]: Generating keypair
[00:50:22] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:50:22] [Server thread/INFO]: Using epoll channel type
[00:50:22] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:50:22] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:50:22] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:50:22] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:50:22] [Server thread/INFO]: Preparing level "world"
[00:50:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:50:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:51:16] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[00:51:16] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[00:51:18] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:51:18] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:51:18] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[00:51:22] [Server thread/INFO]: Time elapsed: 47336 ms
[00:51:22] [Server thread/INFO]: Done (59.239s)! For help, type "help"
